pr001:001	pr001:001	pr001:001	VERSE	Snl␣1:1␣
pr016:002	8	@	-	Herra␣
pr016:002	6b	@	-	tutkii␣
pr016:002	7	@	-	henget
pr016:002	-	(.)	-	.␣
pr016:003	pr016:003	pr016:003	VERSE	Snl␣16:3␣
pr016:003	1	@	-	Heitä␣
pr016:003	4	@	-	työsi␣
pr016:003	3	@	-	Herran␣
pr016:003	2	@	-	haltuun
pr016:003	-	(,)	-	,␣
pr016:003	5a	@	-	niin␣
pr016:003	pers%6	@	-	sinun␣
pr016:003	6	@	-	hankkeesi␣
pr016:003	5b	@	-	menestyvät
pr016:003	-	(.)	-	.␣
pr016:004	pr016:004	pr016:004	VERSE	Snl␣16:4␣
pr016:004	1	@	-	Kaiken␣
pr016:004	2	(@)	-	on␣
pr016:004	3	@	-	Herra␣
pr016:004	2	@	-	tehnyt␣
pr016:004	4b	@	-	määrätarkoitukseen
pr016:004	4a	%case	LOC	
pr016:004	-	(,)	-	,␣
pr016:004	5a	@	-	niinpä␣
pr016:004	6	@	-	jumalattomankin␣
pr016:004	5b	%clitic	kin	
pr016:004	8	@	-	onnettomuuden␣
pr016:004	7b	@	-	päivän␣
pr016:004	7a	@	-	varalle
pr016:004	-	(.)	-	.␣
pr016:005	pr016:005	pr016:005	VERSE	Snl␣16:5␣
pr016:005	3	@	-	Jokainen␣
pr016:005	4 5	@	-	ylpeämielinen␣
pr016:005	-	(@)	-	on␣
pr016:005	2	@	-	Herralle␣
pr016:005	1	@	-	kauhistus
pr016:005	-	(:)	-	:␣
pr016:005	6 7b	@	-	totisesti
pr016:005	7a	%case	MAN	
pr016:005	-	(,)	-	,␣
pr016:005	8	@	-	ei␣
pr016:005	-	(@)	-	sellainen␣
pr016:005	9	@	-	jää␣
pr016:005	9	@	-	rankaisematta
pr016:005	-	(.)	-	.␣
pr016:006	pr016:006	pr016:006	VERSE	Snl␣16:6␣
pr016:006	1b	@	-	Laupeudella␣
pr016:006	1a	%case	LOC	
pr016:006	2a	@	-	ja␣
pr016:006	2b	@	-	uskollisuudella␣
pr016:006	4	@	-	rikos␣
pr016:006	3	@	-	sovitetaan
pr016:006	-	(,)	-	,␣
pr016:006	5a	@	-	ja␣
pr016:006	6	@	-	Herran␣
pr016:006	5c	@	-	pelolla␣
pr016:006	5b	%case	LOC	
pr016:006	8b	@	-	paha␣
pr016:006	8a	%case	NOM	
pr016:006	7	@	-	vältetään
pr016:006	-	(.)	-	.␣
pr016:007	pr016:007	pr016:007	VERSE	Snl␣16:7␣
pr016:007	-	(@)	-	Jos␣
pr016:007	4	@	-	miehen␣
pr016:007	3	@	-	tiet␣
pr016:007	-	(@)	-	ovat␣
pr016:007	2	@	-	Herralle␣
pr016:007	1b	@	-	otolliset
pr016:007	1a	%case	NOM	
pr016:007	-	(,)	-	,␣
pr016:007	7	@	-	saattaa␣
pr016:007	7	(@)	-	hän␣
pr016:007	6	@	-	vihamiehetkin␣
pr016:007	5	%clitic	kin	
pr016:007	7	@	-	sovintoon␣
pr016:007	pers%8	@	-	hänen␣
pr016:007	8	@	-	kanssansa
pr016:007	-	(.)	-	.␣
pr016:008	pr016:008	pr016:008	VERSE	Snl␣16:8␣
pr016:008	1	@	-	Parempi␣
pr016:008	2	@	-	vähä␣
pr016:008	3b	@	-	vanhurskaudessa␣
pr016:008	3a	%case	LOC	
pr016:008	4a	@	-	kuin␣
pr016:008	4b	@	-	suuret␣
pr016:008	5	@	-	voitot␣
pr016:008	7	@	-	vääryydessä
pr016:008	6a 6b	%case	LOC	
pr016:008	-	(.)	-	.␣
pr016:009	pr016:009	pr016:009	VERSE	Snl␣16:9␣
pr016:009	2	@	-	Ihmisen␣
pr016:009	1	@	-	sydän␣
pr016:009	3	@	-	aivoittelee␣
pr016:009	pers%4	@	-	hänen␣
pr016:009	4	@	-	tiensä
pr016:009	-	(,)	-	,␣
pr016:009	5a	@	-	mutta␣
pr016:009	5b	@	-	Herra␣
pr016:009	6	@	-	ohjaa␣
pr016:009	pers%7	@	-	hänen␣
pr016:009	7	@	-	askeleensa
pr016:009	-	(.)	-	.␣
pr016:010	pr016:010	pr016:010	VERSE	Snl␣16:10␣
pr016:010	4	@	-	Kuninkaan␣
pr016:010	3	@	-	huulilla␣
pr016:010	2	%case	LOC	
pr016:010	-	(@)	-	on␣
pr016:010	1	@	-	jumalallinen␣
pr016:010	1	@	-	ratkaisu
pr016:010	-	(;)	-	;␣
pr016:010	pers%8	@	-	hänen␣
pr016:010	8	@	-	suunsa␣
pr016:010	6	@	-	ei␣
pr016:010	7	@	-	petä␣
pr016:010	5b	@	-	tuomitessaan
pr016:010	5a	%case	LOC	
pr016:010	-	(.)	-	.␣
pr016:011	pr016:011	pr016:011	VERSE	Snl␣16:11␣
pr016:011	1	@	-	Puntari␣
pr016:011	2a	@	-	ja␣
pr016:011	3	@	-	oikea␣
pr016:011	2b	@	-	vaaka␣
pr016:011	-	(@)	-	ovat␣
pr016:011	4b	@	-	Herran
pr016:011	4a	%case	GEN	
pr016:011	-	(,)	-	,␣
pr016:011	pers%5	@	-	hänen␣
pr016:011	5	@	-	tekoaan␣
pr016:011	-	(@)	-	ovat␣
pr016:011	6	@	-	kaikki␣
pr016:011	7	@	-	painot␣
pr016:011	8	@	-	kukkarossa
pr016:011	-	(.)	-	.␣
pr016:012	pr016:012	pr016:012	VERSE	Snl␣16:12␣
pr016:012	4	@	-	Jumalattomuuden␣
pr016:012	3	@	-	teko␣
pr016:012	-	(@)	-	on␣
pr016:012	2	@	-	kuninkaille␣
pr016:012	1	@	-	kauhistus
pr016:012	-	(,)	-	,␣
pr016:012	5	@	-	sillä␣
pr016:012	6b	@	-	vanhurskaudesta␣
pr016:012	6a	%case	LOC	
pr016:012	8	@	-	valtaistuin␣
pr016:012	7	@	-	vahvistuu
pr016:012	-	(.)	-	.␣
pr016:013	pr016:013	pr016:013	VERSE	Snl␣16:13␣
pr016:013	4	@	-	Vanhurskaat␣
pr016:013	3	@	-	huulet␣
pr016:013	-	(@)	-	ovat␣
pr016:013	2	@	-	kuninkaille␣
pr016:013	1	@	-	mieleen
pr016:013	-	(,)	-	,␣
pr016:013	5a	@	-	ja␣
pr016:013	6	@	-	oikein␣
pr016:013	5b	@	-	puhuvaa␣
pr016:013	7	(@)	-	he␣
pr016:013	7	@	-	rakastavat
pr016:013	-	(.)	-	.␣
pr016:014	pr016:014	pr016:014	VERSE	Snl␣16:14␣
pr016:014	2	@	-	Kuninkaan␣
pr016:014	1	@	-	viha␣
pr016:014	-	(@)	-	on␣
pr016:014	4	@	-	kuoleman␣
pr016:014	3	@	-	sanansaattaja
pr016:014	-	(,)	-	,␣
pr016:014	5a	@	-	mutta␣
pr016:014	pers%7	@	-	sen␣
pr016:014	7	@	-	lepyttää␣
pr016:014	6	@	-	viisas␣
pr016:014	5b	@	-	mies
pr016:014	-	(.)	-	.␣
pr016:015	pr016:015	pr016:015	VERSE	Snl␣16:15␣
pr016:015	3	@	-	Kuninkaan␣
pr016:015	2	@	-	kasvojen␣
pr016:015	1b	@	-	valo␣
pr016:015	1a	%case	NOM	
pr016:015	-	(@)	-	on␣
pr016:015	4	@	-	elämäksi
pr016:015	-	(,)	-	,␣
pr016:015	5a	@	-	ja␣
pr016:015	pers%5b	@	-	hänen␣
pr016:015	5b	@	-	suosionsa␣
pr016:015	-	(@)	-	on␣
pr016:015	6a	@	-	kuin␣
pr016:015	7	@	-	keväinen␣
pr016:015	6b	@	-	sadepilvi
pr016:015	-	(.)	-	.␣
pr016:016	pr016:016	pr016:016	VERSE	Snl␣16:16␣
pr016:016	4	@	-	Parempi␣
pr016:016	(3)	-	UNTRANSLATED	
pr016:016	5b	@	-	kultaa␣
pr016:016	5a	%case	PTV	
pr016:016	-	(@)	-	on␣
pr016:016	1	@	-	hankkia␣
pr016:016	2	@	-	viisautta
pr016:016	(6a)	-	UNTRANSLATED	
pr016:016	-	(,)	-	,␣
pr016:016	8	@	-	kalliimpi␣
pr016:016	9b	@	-	hopeata␣
pr016:016	9a	%case	PTV	
pr016:016	6b	@	-	hankkia␣
pr016:016	7	@	-	ymmärrystä
pr016:016	-	(.)	-	.␣
pr016:017	pr016:017	pr016:017	VERSE	Snl␣16:17␣
pr016:017	2	@	-	Oikeamielisten␣
pr016:017	1	@	-	tie␣
pr016:017	3	@	-	välttää␣
pr016:017	4b	@	-	onnettomuuden
pr016:017	4a	%case	GEN	
pr016:017	-	(;)	-	;␣
pr016:017	6	@	-	henkensä␣
pr016:017	5	(@)	-	saa␣
pr016:017	5	@	-	pitää
pr016:017	-	(,)	-	,␣
pr016:017	-	(@)	-	joka␣
pr016:017	7	@	-	pitää␣
pr016:017	8	@	-	vaelluksestaan␣
pr016:017	7	@	-	vaarin
pr016:017	-	(.)	-	.␣
pr016:018	pr016:018	pr016:018	VERSE	Snl␣16:18␣
pr016:018	3	@	-	Kopeus␣
pr016:018	-	(@)	-	käy␣
pr016:018	2	@	-	kukistumisen␣
pr016:018	1a 1b	@	-	edellä
pr016:018	(4a)	-	UNTRANSLATED	
pr016:018	-	(,)	-	,␣
pr016:018	6 7	@	-	ylpeys␣
pr016:018	5	@	-	lankeemuksen␣
pr016:018	4b 4c	@	-	edellä
pr016:018	-	(.)	-	.␣
pr016:019	pr016:019	pr016:019	VERSE	Snl␣16:19␣
pr016:019	1	@	-	Parempi␣
pr016:019	2 3	@	-	alavana␣
pr016:019	6	@	-	nöyrien␣
pr016:019	4	@	-	parissa␣
pr016:019	7a	@	-	kuin␣
pr016:019	7b	@	-	jakamassa␣
pr016:019	8	@	-	saalista␣
pr016:019	10	@	-	ylpeitten␣
pr016:019	9	@	-	kanssa
pr016:019	-	(.)	-	.␣
pr016:020	pr016:020	pr016:020	VERSE	Snl␣16:20␣
pr016:020	-	(@)	-	Joka␣
pr016:020	1	@	-	painaa␣
pr016:020	1	@	-	mieleensä␣
pr016:020	3	@	-	sanan
pr016:020	2	%case	GEN	
pr016:020	-	(,)	-	,␣
pr016:020	4	(@)	-	se␣
pr016:020	4	@	-	löytää␣
pr016:020	5	@	-	onnen
pr016:020	-	(;)	-	;␣
pr016:020	6a	@	-	ja␣
pr016:020	8	@	-	autuas␣
pr016:020	pers%8	@	-	se
pr016:020	-	(,)	-	,␣
pr016:020	-	(@)	-	joka␣
pr016:020	7b	@	-	Herraan␣
pr016:020	7a	%case	LOC	
pr016:020	6b	@	-	turvaa
pr016:020	-	(!)	-	!␣
pr016:021	pr016:021	pr016:021	VERSE	Snl␣16:21␣
pr016:021	-	(@)	-	Jolla␣
pr016:021	-	(@)	-	on␣
pr016:021	1b	@	-	viisas␣
pr016:021	2	@	-	sydän
pr016:021	-	(,)	-	,␣
pr016:021	1a	@	-	sitä␣
pr016:021	4	@	-	ymmärtäväiseksi␣
pr016:021	3	@	-	sanotaan
pr016:021	-	(,)	-	,␣
pr016:021	5a	@	-	ja␣
pr016:021	6	@	-	huulten␣
pr016:021	5b	@	-	suloisuus␣
pr016:021	7	@	-	antaa␣
pr016:021	8	@	-	opetukselle␣
pr016:021	7	@	-	tehoa
pr016:021	-	(.)	-	.␣
pr016:022	pr016:022	pr016:022	VERSE	Snl␣16:22␣
pr016:022	3	@	-	Ymmärrys␣
pr016:022	-	(@)	-	on␣
pr016:022	4	@	-	omistajalleen␣
pr016:022	2	@	-	elämän␣
pr016:022	1	@	-	lähde
pr016:022	-	(,)	-	,␣
pr016:022	5a	@	-	mutta␣
pr016:022	7	@	-	hulluus␣
pr016:022	-	(@)	-	on␣
pr016:022	6	@	-	hulluille␣
pr016:022	5b	@	-	kuritus
pr016:022	-	(.)	-	.␣
pr016:023	pr016:023	pr016:023	VERSE	Snl␣16:23␣
pr016:023	2	@	-	Viisaan␣
pr016:023	1	@	-	sydän␣
pr016:023	3	@	-	tekee␣
pr016:023	3	@	-	taitavaksi␣
pr016:023	pers%4	@	-	hänen␣
pr016:023	4	@	-	suunsa␣
pr016:023	5a	@	-	ja␣
pr016:023	7	@	-	antaa␣
pr016:023	7	@	-	tehoa␣
pr016:023	pers%6	@	-	hänen␣
pr016:023	6	@	-	huultensa␣
pr016:023	5b	%case	GEN	
pr016:023	8	@	-	opetukselle
pr016:023	-	(.)	-	.␣
pr016:024	pr016:024	pr016:024	VERSE	Snl␣16:24␣
pr016:024	4	@	-	Lempeät␣
pr016:024	3	@	-	sanat␣
pr016:024	-	(@)	-	ovat␣
pr016:024	1 2	@	-	mesileipää
pr016:024	-	(;)	-	;␣
pr016:024	-	(@)	-	ne␣
pr016:024	-	(@)	-	ovat␣
pr016:024	5	@	-	makeat␣
pr016:024	6b	@	-	sielulle␣
pr016:024	6a	%case	LOC	
pr016:024	7a	@	-	ja␣
pr016:024	7b	@	-	lääkitys␣
pr016:024	8b	@	-	luille
pr016:024	8a	%case	LOC	
pr016:024	-	(.)	-	.␣
pr016:025	pr016:025	pr016:025	VERSE	Snl␣16:25␣
pr016:025	5	@	-	Miehen␣
pr016:025	4a 4b	@	-	mielestä␣
pr016:025	1	@	-	on␣
pr016:025	3	@	-	oikea␣
pr016:025	-	(@)	-	monikin␣
pr016:025	2	@	-	tie
pr016:025	-	(,)	-	,␣
pr016:025	6a	@	-	joka␣
pr016:025	6b	@	-	lopulta␣
pr016:025	-	(@)	-	on␣
pr016:025	8	@	-	kuoleman␣
pr016:025	7	@	-	tie
pr016:025	-	(.)	-	.␣
pr016:026	pr016:026	pr016:026	VERSE	Snl␣16:26␣
pr016:026	2	@	-	Työmiehen␣
pr016:026	1	@	-	nälkä␣
pr016:026	3	@	-	tekee␣
pr016:026	3	@	-	työtä␣
pr016:026	pers%4	@	-	hänen␣
pr016:026	4	@	-	hyväkseen
pr016:026	-	(,)	-	,␣
pr016:026	5	@	-	sillä␣
pr016:026	pers%8	@	-	oma␣
pr016:026	8	@	-	suu␣
pr016:026	6	@	-	panee␣
pr016:026	7	@	-	hänelle␣
pr016:026	6	@	-	pakon
pr016:026	-	(.)	-	.␣
pr016:027	pr016:027	pr016:027	VERSE	Snl␣16:27␣
pr016:027	2	@	-	Kelvoton␣
pr016:027	1	@	-	mies␣
pr016:027	3	@	-	kaivaa␣
pr016:027	-	(@)	-	toiselle␣
pr016:027	4	@	-	onnettomuutta
pr016:027	(5a)	-	UNTRANSLATED	
pr016:027	-	(;)	-	;␣
pr016:027	pers%6	@	-	hänen␣
pr016:027	6	@	-	huulillaan␣
pr016:027	5b	%case	LOC	
pr016:027	-	(@)	-	on␣
pr016:027	8a	@	-	kuin␣
pr016:027	9	@	-	polttava␣
pr016:027	8b	@	-	tuli
pr016:027	-	(.)	-	.␣
pr016:028	pr016:028	pr016:028	VERSE	Snl␣16:28␣
pr016:028	2	@	-	Kavala␣
pr016:028	1	@	-	mies␣
pr016:028	3	@	-	rakentaa␣
pr016:028	4	@	-	riitaa
pr016:028	-	(,)	-	,␣
pr016:028	5a	@	-	ja␣
pr016:028	5b	@	-	panettelija␣
pr016:028	6	@	-	erottaa␣
pr016:028	7	@	-	ystävykset
pr016:028	-	(.)	-	.␣
pr016:029	pr016:029	pr016:029	VERSE	Snl␣16:29␣
pr016:029	2	@	-	Väkivallan␣
pr016:029	1	@	-	mies␣
pr016:029	3	@	-	viekoittelee␣
pr016:029	4	@	-	lähimmäisensä␣
pr016:029	5a	@	-	ja␣
pr016:029	5b	@	-	vie␣
pr016:029	pers%5b	@	-	hänet␣
pr016:029	6b	@	-	tielle
pr016:029	6a	%case	LOC	
pr016:029	-	(,)	-	,␣
pr016:029	-	(@)	-	joka␣
pr016:029	7	@	-	ei␣
pr016:029	-	(@)	-	ole␣
pr016:029	8	@	-	hyvä
pr016:029	-	(.)	-	.␣
pr016:030	pr016:030	pr016:030	VERSE	Snl␣16:30␣
pr016:030	-	(@)	-	Joka␣
pr016:030	2	@	-	silmiänsä␣
pr016:030	1	@	-	luimistelee
pr016:030	-	(,)	-	,␣
pr016:030	-	(@)	-	sillä␣
pr016:030	3b	@	-	on␣
pr016:030	3a	%case	?	
pr016:030	4	@	-	kavaluus␣
pr016:030	3b	@	-	mielessä
pr016:030	-	(;)	-	;␣
pr016:030	-	(@)	-	joka␣
pr016:030	6	@	-	huulensa␣
pr016:030	5	@	-	yhteen␣
pr016:030	5	@	-	puristaa
pr016:030	-	(,)	-	,␣
pr016:030	-	(@)	-	sillä␣
pr016:030	7	@	-	on␣
pr016:030	8	@	-	paha␣
pr016:030	7	@	-	valmiina
pr016:030	-	(.)	-	.␣
pr016:031	pr016:031	pr016:031	VERSE	Snl␣16:31␣
pr016:031	3	@	-	Harmaat␣
pr016:031	3	@	-	hapset␣
pr016:031	-	(@)	-	ovat␣
pr016:031	2	@	-	kunnian␣
pr016:031	1	@	-	kruunu
pr016:031	-	(;)	-	;␣
pr016:031	6	(@)	-	se␣
pr016:031	6	@	-	saadaan␣
pr016:031	5	@	-	vanhurskasten␣
pr016:031	4b	@	-	tiellä
pr016:031	4a	%case	LOC	
pr016:031	-	(.)	-	.␣
pr016:032	pr016:032	pr016:032	VERSE	Snl␣16:32␣
pr016:032	2 3	@	-	Pitkämielinen␣
pr016:032	-	(@)	-	on␣
pr016:032	1	@	-	parempi␣
pr016:032	4a	@	-	kuin␣
pr016:032	4b	@	-	sankari
pr016:032	-	(,)	-	,␣
pr016:032	5a	@	-	ja␣
pr016:032	6b	@	-	mielensä␣
pr016:032	6a	%case	NOM.GEN	
pr016:032	5b	@	-	hillitseväinen␣
pr016:032	-	(@)	-	parempi␣
pr016:032	7a	@	-	kuin␣
pr016:032	8	@	-	kaupungin␣
pr016:032	7b	@	-	valloittaja
pr016:032	-	(.)	-	.␣
pr016:033	pr016:033	pr016:033	VERSE	Snl␣16:33␣
pr016:033	1b	@	-	Helmassa␣
pr016:033	1a	%case	LOC	
pr016:033	-	(@)	-	pudistellen␣
pr016:033	(4a) 4b	@	-	arpa␣
pr016:033	3	%case	NOM	
pr016:033	2	@	-	heitetään
pr016:033	-	(,)	-	,␣
pr016:033	5a	@	-	mutta␣
pr016:033	5c	@	-	Herralta␣
pr016:033	5b	%case	LOC	
pr016:033	-	(@)	-	tulee␣
pr016:033	6	@	-	aina␣
pr016:033	pers%7	@	-	sen␣
pr016:033	7	@	-	ratkaisu
pr016:033	-	(.)	-	.␣
pr017:001	pr017:001	pr017:001	VERSE	Snl␣17:1␣
pr017:001	1	@	-	Parempi␣
pr017:001	3	@	-	kuiva␣
pr017:001	2	@	-	kannikka␣
pr017:001	4b	@	-	rauhassa␣
pr017:001	4a 5	%inflection	SG.INE	
pr017:001	6a	@	-	kuin␣
pr017:001	6b	@	-	talon␣
pr017:001	7	@	-	täysi␣
pr017:001	8	@	-	uhripaistia␣
pr017:001	9	@	-	riidassa
pr017:001	-	(.)	-	.␣
pr017:002	pr017:002	pr017:002	VERSE	Snl␣17:2␣
pr017:002	2	@	-	Taitava␣
pr017:002	1	@	-	palvelija␣
pr017:002	3	@	-	hallitsee␣
pr017:002	5	@	-	kunnotonta␣
pr017:002	4b	@	-	poikaa␣
pr017:002	4a	%case	PTV	
pr017:002	6a	@	-	ja␣
pr017:002	8	@	-	pääsee␣
pr017:002	9	@	-	perinnönjaolle␣
pr017:002	7	@	-	veljesten␣
pr017:002	6c	@	-	rinnalla
pr017:002	6b	%case	LOC	
pr017:002	-	(.)	-	.␣
pr017:003	pr017:003	pr017:003	VERSE	Snl␣17:3␣
pr017:003	2b	@	-	Hopealle␣
pr017:003	2a	%case	LOC	
pr017:003	1	@	-	sulatin
pr017:003	(3a)	-	UNTRANSLATED	
pr017:003	-	(,)	-	,␣
pr017:003	4b	@	-	kullalle␣
pr017:003	4a	%case	LOC	
pr017:003	3b	@	-	uuni
pr017:003	-	(,)	-	,␣
pr017:003	5a	@	-	mutta␣
pr017:003	6	@	-	sydämet␣
pr017:003	5b	@	-	koettelee␣
pr017:003	7	@	-	Herra
pr017:003	-	(.)	-	.␣
pr017:004	pr017:004	pr017:004	VERSE	Snl␣17:4␣
pr017:004	1	@	-	Paha␣
pr017:004	2	@	-	kuuntelee␣
pr017:004	5	@	-	häijyjä␣
pr017:004	4	@	-	huulia
pr017:004	3	%case	PTV	
pr017:004	-	(,)	-	,␣
pr017:004	6	@	-	petollisuus␣
pr017:004	7	@	-	kuulee␣
pr017:004	10	@	-	pahoja␣
pr017:004	9	@	-	kieliä
pr017:004	8	%case	PTV	
pr017:004	-	(.)	-	.␣
pr017:005	pr017:005	pr017:005	VERSE	Snl␣17:5␣
pr017:005	-	(@)	-	Joka␣
pr017:005	2b	@	-	köyhää␣
pr017:005	2a	%case	PTV	
pr017:005	1	@	-	pilkkaa
pr017:005	-	(,)	-	,␣
pr017:005	3	(@)	-	se␣
pr017:005	3	@	-	herjaa␣
pr017:005	pers%4	@	-	hänen␣
pr017:005	4	@	-	luojaansa
pr017:005	-	(;)	-	;␣
pr017:005	-	(@)	-	joka␣
pr017:005	-	(@)	-	toisen␣
pr017:005	6b	@	-	onnettomuudesta␣
pr017:005	6a	%case	LOC	
pr017:005	5	@	-	iloitsee
pr017:005	-	(,)	-	,␣
pr017:005	7	@	-	ei␣
pr017:005	8	@	-	jää␣
pr017:005	8	@	-	rankaisematta
pr017:005	-	(.)	-	.␣
pr017:006	pr017:006	pr017:006	VERSE	Snl␣17:6␣
pr017:006	2	@	-	Vanhusten␣
pr017:006	1	@	-	kruunu␣
pr017:006	-	(@)	-	ovat␣
pr017:006	3 4	@	-	lastenlapset
pr017:006	-	(,)	-	,␣
pr017:006	5a	@	-	ja␣
pr017:006	7	@	-	isät␣
pr017:006	-	(@)	-	ovat␣
pr017:006	6	@	-	lasten␣
pr017:006	5b	@	-	kunnia
pr017:006	-	(.)	-	.␣
pr017:007	pr017:007	pr017:007	VERSE	Snl␣17:7␣
pr017:007	1	@	-	Ei␣
pr017:007	2	@	-	sovi␣
pr017:007	3b	@	-	houkalle␣
pr017:007	3a	%case	LOC	
pr017:007	5	@	-	ylevä␣
pr017:007	4	@	-	puhe
pr017:007	-	(,)	-	,␣
pr017:007	6	@	-	saati␣
pr017:007	7	@	-	sitten␣
pr017:007	8b	@	-	ruhtinaalle␣
pr017:007	8a	%case	LOC	
pr017:007	10 9	@	-	valhe
pr017:007	-	(.)	-	.␣
pr017:008	pr017:008	pr017:008	VERSE	Snl␣17:8␣
pr017:008	(3a) 3b	@	-	Lahjus␣
pr017:008	-	(@)	-	on␣
pr017:008	5	@	-	käyttäjänsä␣
pr017:008	4b	@	-	silmissä␣
pr017:008	4a	%case	LOC	
pr017:008	2	@	-	kallis␣
pr017:008	1	@	-	kivi
pr017:008	-	(:)	-	:␣
pr017:008	8	@	-	mihin␣
pr017:008	6	%case	LOC	
pr017:008	7	@	-	vain␣
pr017:008	9	(@)	-	hän␣
pr017:008	9	@	-	kääntyy
pr017:008	-	(,)	-	,␣
pr017:008	10	(@)	-	hän␣
pr017:008	10	@	-	menestyy
pr017:008	-	(.)	-	.␣
pr017:009	pr017:009	pr017:009	VERSE	Snl␣17:9␣
pr017:009	-	(@)	-	Joka␣
pr017:009	2	@	-	rikkeen␣
pr017:009	1	@	-	peittää
pr017:009	-	(,)	-	,␣
pr017:009	3	(@)	-	se␣
pr017:009	4	@	-	rakkautta␣
pr017:009	3	@	-	harrastaa
pr017:009	-	(;)	-	;␣
pr017:009	5a	@	-	mutta␣
pr017:009	-	(@)	-	joka␣
pr017:009	6b	@	-	asioita␣
pr017:009	6a	%case	PTV	
pr017:009	5b	@	-	kaivelee
pr017:009	-	(,)	-	,␣
pr017:009	7	(@)	-	se␣
pr017:009	7	@	-	erottaa␣
pr017:009	8	@	-	ystävykset
pr017:009	-	(.)	-	.␣
pr017:010	pr017:010	pr017:010	VERSE	Snl␣17:10␣
pr017:010	2	@	-	Nuhde␣
pr017:010	1	@	-	pystyy␣
pr017:010	1	@	-	paremmin␣
pr017:010	3b	@	-	ymmärtäväiseen␣
pr017:010	3a	%case	LOC	
pr017:010	4a	@	-	kuin␣
pr017:010	6	@	-	sata␣
pr017:010	4b	@	-	lyöntiä␣
pr017:010	5	@	-	tyhmään
pr017:010	-	(.)	-	.␣
pr017:011	pr017:011	pr017:011	VERSE	Snl␣17:11␣
pr017:011	1	@	-	Pelkkää␣
pr017:011	2	@	-	onnettomuutta␣
pr017:011	3	@	-	hankkii␣
pr017:011	4	@	-	kapinoitsija
pr017:011	-	(,)	-	,␣
pr017:011	5a	@	-	mutta␣
pr017:011	pers%8	@	-	häntä␣
pr017:011	8	@	-	vastaan␣
pr017:011	7	@	-	lähetetään␣
pr017:011	6	@	-	armoton␣
pr017:011	5b	@	-	sanansaattaja
pr017:011	-	(.)	-	.␣
pr017:012	pr017:012	pr017:012	VERSE	Snl␣17:12␣
pr017:012	1	@	-	Kohdatkoon␣
pr017:012	4b	@	-	miestä␣
pr017:012	4a	%case	PTV	
pr017:012	2	@	-	karhu
pr017:012	-	(,)	-	,␣
pr017:012	-	(@)	-	jolta␣
pr017:012	-	(@)	-	on␣
pr017:012	3	@	-	riistetty␣
pr017:012	3	@	-	poikaset
pr017:012	-	(,)	-	,␣
pr017:012	5a	@	-	mutta␣
pr017:012	5b	@	-	älköön␣
pr017:012	6	@	-	tyhmä␣
pr017:012	7b	@	-	hulluudessansa
pr017:012	7a	%case	LOC	
pr017:012	-	(.)	-	.␣
pr017:013	pr017:013	pr017:013	VERSE	Snl␣17:13␣
pr017:013	-	(@)	-	Joka␣
pr017:013	4	@	-	hyvän␣
pr017:013	3	%case	GEN	
pr017:013	2	@	-	pahalla␣
pr017:013	1	@	-	palkitsee
pr017:013	-	(,)	-	,␣
pr017:013	pers%9b	@	-	sen␣
pr017:013	9b	@	-	kodista␣
pr017:013	9a	%case	LOC	
pr017:013	5	@	-	ei␣
pr017:013	8	@	-	onnettomuus␣
pr017:013	7	@	-	väisty
pr017:013	-	(.)	-	.␣
pr017:014	pr017:014	pr017:014	VERSE	Snl␣17:14␣
pr017:014	3	@	-	Aloittaa␣
pr017:014	4	@	-	tora␣
pr017:014	-	(@)	-	on␣
pr017:014	1	@	-	päästää␣
pr017:014	2	@	-	vedet␣
pr017:014	1	@	-	valloilleen
pr017:014	(5a)	-	UNTRANSLATED	
pr017:014	-	(;)	-	;␣
pr017:014	8	@	-	herkeä
pr017:014	-	(,)	-	,␣
pr017:014	5b 5c	@	-	ennenkuin␣
pr017:014	(7a) 7b	@	-	riita␣
pr017:014	6	@	-	syttyy
pr017:014	-	(.)	-	.␣
pr017:015	pr017:015	pr017:015	VERSE	Snl␣17:15␣
pr017:015	2	@	-	Syyllisen␣
pr017:015	1	@	-	syyttömäksi␣
pr017:015	3a	@	-	ja␣
pr017:015	4	@	-	syyttömän␣
pr017:015	3b	@	-	syylliseksi␣
pr017:015	3b	@	-	tekijä␣
pr017:015	-	(@)	-	ovat␣
pr017:015	8	@	-	kumpikin␣
pr017:015	7	%inflection	INDEF.SG.NOM	
pr017:015	6	@	-	Herralle␣
pr017:015	5	@	-	kauhistus
pr017:015	-	(.)	-	.␣
pr017:016	pr017:016	pr017:016	VERSE	Snl␣17:16␣
pr017:016	1	@	-	Mitä␣
pr017:016	1	@	-	hyötyä␣
pr017:016	2	%case	PTV	
pr017:016	-	(@)	-	on␣
pr017:016	3	@	-	rahasta␣
pr017:016	5	@	-	tyhmän␣
pr017:016	4b	@	-	käsissä
pr017:016	4a	%case	LOC	
pr017:016	-	(?)	-	?␣
pr017:016	7	@	-	Viisauden␣
pr017:016	6b	@	-	hankkimiseen␣
pr017:016	6a	%case	LOC	
pr017:016	(8a)	-	UNTRANSLATED	
pr017:016	9	@	-	ei␣
pr017:016	9	@	-	ole␣
pr017:016	8b	@	-	ymmärrystä
pr017:016	-	(.)	-	.␣
pr017:017	pr017:017	pr017:017	VERSE	Snl␣17:17␣
